id,character_type,style,complexion,trait_count,item_1,item_2,item_3,item_4,item_5,item_6,item_7
0,Person,Woman,Tan,3,Green Makeup,Ear Ring,Golden Bob,,,,
1,Person,Man,Deep,2,Happy Face,Spike Cut,,,,,
2,Person,Woman,Fair,1,Free Hair,,,,,,
3,Person,Man,Deep,3,Free Hair,Study Glasses,Smoking Pipe,,,,
4,Person,Man,Tan,4,Large Shades,Free Hair,Ear Ring,Goatee,,,
5,Person,Woman,Tan,3,Purple Makeup,Side Shaved,Ear Ring,,,,
6,Person,Man,Tan,1,Head Rag,,,,,,
7,Person,Woman,Tan,3,Wild White Hair,Freckles,Blue Clown Eyes,,,,
8,Person,Man,Deep,2,Untidy Hair,Rich Beard,,,,,
9,Person,Man,Tan,3,Funny Nose,Officer Cap,Full Beard,,,,
10,Person,Woman,Deep,2,Blue Makeup,Spike Cut,,,,,
11,Person,Woman,Tan,3,Dark Lipstick,Green Clown Eyes,Smooth Dark Hair,,,,
12,Person,Woman,Deep,2,Short Blonde Hair,Violet Lipstick,,,,,
13,Person,Woman,Fair,3,Large Shades,Dark Lipstick,Smooth Blonde Hair,,,,
14,Person,Woman,Deep,3,Smoking Pipe,Flight Helmet,Bright Lipstick,,,,
15,Person,Man,Pale,3,Rich Beard,Free Hair,Standard Shades,,,,
16,Person,Man,Tan,3,Thin Hair,Ear Ring,Slim Shades,,,,
17,Person,Man,Fair,2,Sad Face,Spike Cut,,,,,
18,Person,Man,Tan,2,Face Mask,Side Burns,,,,,
19,Person,Woman,Deep,3,Head Wrap,Rim Glasses,Bright Lipstick,,,,
20,Person,Man,Fair,1,Wacky Hair,,,,,,
21,Person,Man,Fair,3,Untidy Hair,Retro Shades,Ear Ring,,,,
22,Person,Woman,Deep,2,Flight Helmet,Violet Lipstick,,,,,
23,Person,Man,Fair,3,Handle Mustache,Ear Ring,Head Rag,,,,
24,Person,Man,Fair,2,Happy Face,Dark Spike Cut,,,,,
25,Person,Woman,Deep,1,Wild White Hair,,,,,,
